FORWARD;SPREAD;MATURITY;MARKET_VOLATILITY;SABR_VOLATILITY
0.0249605819633645;-0.02;1Y;0.010516543063331;0.0106453516616734
0.0249605819633645;-0.015;1Y;0.00985266282670868;0.00991376925846984
0.0249605819633645;-0.01;1Y;0.00929384375500523;0.00929219425296626
0.0249605819633645;-0.0075;1Y;0.00906936129793872;0.00905124420953613
0.0249605819633645;-0.005;1Y;0.00890603441096302;0.00887688221717666
0.0249605819633645;-0.0025;1Y;0.00880787422798043;0.00878400930367652
0.0249605819633645;0;1Y;0.00881;0.00878269261515975
0.0249605819633645;0.0025;1Y;0.00886937427055709;0.00887431746620918
0.0249605819633645;0.005;1Y;0.00903153074018003;0.00905094414882057
0.0249605819633645;0.0075;1Y;0.00926454789758721;0.00929842876313829
0.0249605819633645;0.01;1Y;0.00955790424427848;0.00960086702908941
0.0249605819633645;0.015;1Y;0.0102767528022274;0.010315611953053
0.0249605819633645;0.02;1Y;0.0111106501930845;0.0111129636486866
0.0249605819633645;0.03;1Y;0.0129441613037569;0.0127970103982535
0.0264322693674337;-0.02;5Y;0.00824139196087985;0.00845571421544738
0.0264322693674337;-0.015;5Y;0.00819343347968126;0.0083013626788163
0.0264322693674337;-0.01;5Y;0.00820630848279177;0.00824111902288161
0.0264322693674337;-0.0075;5Y;0.00824065847312217;0.00825096322253591
0.0264322693674337;-0.005;5Y;0.00828953752007475;0.00828854155400632
0.0264322693674337;-0.0025;5Y;0.00835899424844961;0.00835353116963729
0.0264322693674337;0;5Y;0.00846;0.00844470838219195
0.0264322693674337;0.0025;5Y;0.0085488948829279;0.00856010855134949
0.0264322693674337;0.005;5Y;0.00867185321935347;0.00869726624605255
0.0264322693674337;0.0075;5Y;0.00880655470896201;0.00885347308693367
0.0264322693674337;0.01;5Y;0.00895560886117937;0.00902600158042121
0.0264322693674337;0.015;5Y;0.00928619386199937;0.00940992967529495
0.0264322693674337;0.02;5Y;0.00965583765424895;0.00983150591827066
0.0264322693674337;0.03;5Y;0.0105008770496039;0.0107392537738348
0.0264322693674337;0.04;5Y;0.0115453925199757;0.0116857659996245
0.0264322693674337;0.05;5Y;0.0126885381569834;0.0126418081780856
0.0257446611287366;-0.02;6M;0.0119583466288653;0.0120726509170217
0.0257446611287366;-0.015;6M;0.0108288742871134;0.0109276789316893
0.0257446611287366;-0.01;6M;0.00982198505545615;0.00984085253175888
0.0257446611287366;-0.0075;6M;0.00936691506980597;0.00935189837036305
0.0257446611287366;-0.005;6M;0.00895982160612395;0.00893213704923584
0.0257446611287366;-0.0025;6M;0.00864066826859835;0.00861885773051018
0.0257446611287366;0;6M;0.00848;0.00845292785793248
0.0257446611287366;0.0025;6M;0.00844990867481461;0.00846058684313977
0.0257446611287366;0.005;6M;0.0086126857965975;0.00863623819308671
0.0257446611287366;0.0075;6M;0.00891991255842212;0.00894683286041494
0.0257446611287366;0.01;6M;0.00932450335917225;0.00935190799500386
0.0257446611287366;0.015;6M;0.0103191711722347;0.0103213251898305
0.0257446611287366;0.02;6M;0.0115485863361344;0.011385514971942
