value_date;date;alpha;rho;nu
44060;44092;0.207175168860505;-0.786504078991285;2.38201308756965
44060;44120;0.215004531276577;-0.783668127451219;1.82297757326436
44060;44134;0.2164862346751;-0.782250168007554;1.66735217790679
44060;44155;0.232256944372669;-0.780123249249841;1.49922157701687
44060;44183;0.233319990843443;-0.777287395667093;1.34318447479491
44060;44211;0.229332951407152;-0.774451585620116;1.23094634441589
44060;44274;0.224975439314478;-0.768071172189486;1.06123494976654
44060;44365;0.217497512250909;-0.75885540854126;0.912739146981752
44060;44547;0.21246769457468;-0.740425260664132;0.747999151100984
44060;44729;0.207037030002359;-0.721996951898076;0.653513651225508
44060;44911;0.204247313902739;-0.703570482105471;0.589952808655709
44060;45093;0.201045499545822;-0.685145851148703;0.543289569347041
44060;45275;0.200381602582207;-0.666723058890168;0.507075353792462
44060;45646;0.205559317356653;-0.629174599119059;0.452781629774561
44060;46010;0.208313434373327;-0.592342024684021;0.414729273435066
44060;46374;0.210424541476372;-0.555516802269231;0.385650675726592
44060;46738;0.211177348261666;-0.518698930774337;0.362454342544779
44060;47102;0.210935789854446;-0.481888409099131;0.34336673413014
44060;47473;0.209008674289607;-0.444377554829854;0.327001373199886
