TENOR;SPREAD;VOL_MARKET
10Y;-0.0075;0.00999027874843959
10Y;-0.005;0.00901171236710813
10Y;-0.0025;0.00832751708159182
10Y;0;0.00811
10Y;0.0025;0.00844433259119302
10Y;0.005;0.00924315277564193
10Y;0.0075;0.010241638645217
5Y;-0.0075;0.0103870170014555
5Y;-0.005;0.00950316327233923
5Y;-0.0025;0.00854384461210788
5Y;0;0.00791
5Y;0.0025;0.00783359436327899
5Y;0.005;0.0083150861483682
5Y;0.0075;0.00924547425607422
